,cat_name,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,Program Management,Word,experience,business,management,technical,degree,product,equivalent,google,ability,practical,skills,work,sales,years,cloud,working,teams,data,customer,team,marketing,engineering,including,partners,related,strategic,development,design,andor,communication,partner,technology,drive,project,new,relationships,complex,program,solutions,support,develop,manage,projects,crossfunctional,field,analytical,science,experienceexperience,managing,analysis
,,freq,2018,1950,1470,1380,1319,1185,1152,1137,1091,1077,1053,1023,1016,998,989,923,895,886,884,833,766,715,721,700,692,687,674,662,641,639,608,597,546,537,534,501,497,496,495,493,488,474,472,471,464,460,449,441,433,427
2,Manufacturing & Supply Chain,Word,experience,business,management,technical,degree,product,equivalent,google,ability,practical,skills,work,years,sales,cloud,working,teams,data,customer,team,marketing,engineering,including,marketing,partners,andor,development,strategic,design,communication,solutions,technology,partner,new,project,drive,science,field,support,complex,relationships,develop,experienceexperience,projects,program,customers,crossfunctional,manage,managing,analytical
,,freq,2062,1967,1513,1387,1328,1216,1173,1138,1091,1091,1052,1031,1027,1017,989,949,918,889,884,835,766,758,807,793,778,736,735,721,701,684,658,658,647,624,582,576,558,545,537,533,532,528,510,501,500,499,498,493,487,485
3,Technical Solutions,Word,experience,business,technical,management,degree,product,google,equivalent,cloud,practical,ability,work,sales,skills,working,years,customer,data,teams,team,engineering,related,including,marketing,partners,andor,development,strategic,design,communication,technology,solutions,partner,new,project,drive,science,field,support,complex,relationships,develop,experienceexperience,projects,crossfunctional,program,customers,manage,managing,analytical
,,freq,2245,2051,1859,1669,1459,1426,1315,1297,1226,1187,1155,1121,1119,1102,1071,1062,1031,1028,1027,891,879,826,808,795,782,742,742,724,705,684,663,658,647,633,582,580,563,546,537,536,532,528,515,501,500,500,499,494,487,485
4,Developer Relations,Word,experience,business,technical,management,degree,product,google,equivalent,cloud,practical,ability,work,sales,skills,working,years,customer,data,teams,team,engineering,related,including,marketing,partners,development,design,andor,strategic,communication,technology,solutions,partner,new,project,drive,science,field,complex,support,develop,relationships,experienceexperience,crossfunctional,program,projects,customers,manage,managing,analytical
,,freq,2253,2053,1866,1671,1466,1431,1321,1303,1229,1193,1155,1121,1119,1102,1090,1062,1031,1030,1027,891,882,827,822,795,783,768,762,755,724,695,668,659,648,644,591,585,566,557,542,537,534,534,519,515,504,502,499,498,494,485
5,Hardware Engineering,Word,experience,business,technical,management,degree,product,equivalent,google,cloud,practical,ability,work,sales,skills,working,years,teams,data,customer,engineering,team,related,including,related,development,marketing,partner,andor,strategic,design,communication,solutions,technology,new,drive,project,support,develop,relationships,field,complex,science,crossfunctional,experienceexperience,manage,managing,program,projects,analytical,software
,,freq,2298,2054,1880,1685,1494,1462,1327,1325,1229,1215,1161,1128,1119,1107,1102,1088,1044,1036,1034,934,906,844,856,853,837,825,818,794,791,769,730,708,698,674,631,606,604,582,581,578,575,574,561,541,531,516,512,510,509,509
